issue_key,issue_summary,issue_type,issue_status,issue_components,issue_description,issue_priority,issue_affects_versions,issue_fix_versions,issue_labels,issue_votes,issue_watchers,issue_created_datetimetz,issue_updated_datetimetz,issue_creator_id,issue_creator_name,issue_creator_timezone,issue_assignee_id,issue_assignee_name,issue_assignee_timezone,issue_reporter_id,issue_reporter_name,issue_reporter_timezone,issue_resolution,issue_resolution_datetimetz,project
HELIX-800,TASK: Fix Participant-side log,Improvement,To Do,"","Previously, the log did not contain the instance name, which makes it not very useful. This RB fixes this.
 Changelist:
 1. Improve the log message",Major,"","","",0,2,2019-02-26T02:07:32.000+0000,2019-02-26T19:42:20.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-799,TEST: Fix TestTaskRebalancerFailover,Improvement,To Do,"","This test was unstable in that the job in the JobQueue would never get scheduled by the Controller. When you enqueue jobs to JobQueues, you need to stop and ensure that the JobQueue is in STOPPED state first. This RB fixes this.",Major,"","","",0,2,2019-02-26T02:06:23.000+0000,2019-02-26T19:42:18.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-798,HELIX: Implement auto-exit of maintenance mode,Improvement,To Do,"","This diff contains the implementation and integration of a feature addition for Helix: auto-exit of maintenance mode.
 Changelist:
 1. BestPossibleCalcStage logic was modified so that it will use a new API
 2. IntermediateCalcStage logic was modified to check if the cluster is in maintenance first
 3. enableMaintenance() API was deprecated and replaced with auto/manual APIs while preserving backward-compatibility
 4. An async stage (MaintenanceRecoveryStage) was created and added to the resource pipeline
 5. A series of integration tests were added for various exit/non-exit scenarios",Major,"","","",0,2,2019-02-26T02:05:12.000+0000,2019-02-26T19:42:17.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-797,HELIX: Add maintenance recovery threshold field to ClusterConfig,Improvement,To Do,"","This new field will serve as the threshold against which the Controller will decide whether a cluster has recovered sufficiently for it to auto-exit maintenance mode.
 Changelist:
 1. Add the field
 2. Add getters and setters with sanity checks (Maintenance recovery threshold <= max. offline/disabled instances)",Major,"","","",0,1,2019-02-26T02:02:45.000+0000,2019-02-26T02:02:45.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-796,HELIX: Add fields to MaintenanceSignal,Improvement,To Do,"","We need to add extra fields to MaintenanceSignal in order for Helix Controller to determine how the cluster was entered into maintenance mode.
 Changelist:
 1. Add TRIGGERED_BY and TIMESTAMP fields and getters and setters",Major,"","","",0,2,2019-02-26T01:52:10.000+0000,2019-02-26T02:12:21.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-795,TASK: Drop tasks upon Participant reconnect,Improvement,To Do,"","This changes the default reset() behavior for tasks on Participants. Previously, it would send all task partitions to INIT. After this change, the task partitions will inherit the states from the previous session, and their RequestedState will be set to DROPPED. Then the Controller will send messages to drop the said task partitions so that there are no quota/resource leaks for the number of tasks on Participants.
 Changelist:
 1. Modify state transition logic so that drop state transitions messages will be honored
 2. Modify CurrentState copy-over logic
 3. Add an integration test: TestDropOnParticipantReset",Major,"","","",0,2,2019-02-26T01:50:57.000+0000,2019-02-26T02:12:20.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-794,TASK: Fix double-booking of tasks upon Participant disconnect,Improvement,To Do,"","It's been observed in production use cases that when there are transient Participant connection issues, the Controller would fail to honor maxNumberOfTasksPerInstance limit. That is to say, if the user wants only 1 task from a job (limit is set to 1), Helix must assign up to 1 task onto an instance. But upon short Participant disconnects, we saw 2 tasks in RUNNING at the same time.
 The cause for this is the incorrect calculation of jobConfigLimitation in AbstractTaskDispatcher. This fixes this by utilizing a Map (assignedPartitions) to calculate the correct number of tasks to assign.
 Changelist:
 1. Modify an internal data structure (assignedPartitions)
 2. Fix the logic that calculates the number of tasks to assign",Major,"","","",0,2,2019-02-26T01:49:20.000+0000,2019-02-26T02:12:19.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-793,TASK: Make TaskAssigner honor instance constraints,Improvement,To Do,"","Previously, ThreadCountBasedTaskAssigner was assigning to all AssignableInstances. This could potentially be problematic because some users may wish to use InstanceGroupTags, in which case we must filter out instances that do not have the appropriate tags. This RB adds a logic that helps TaskAssigner honor such constraints.
 
 Changelist:
 1. TaskAssigner only assigns to AssignableInstances contained in eligible instances
 2. Add a test for this logic change",Major,"","","",0,2,2019-02-26T01:47:39.000+0000,2019-02-26T02:12:18.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-792,HELIX: fix typo in WorkflowDataProvider,Improvement,To Do,"",HELIX: fix typo in WorkflowDataProvider,Major,"","","",0,2,2019-02-26T01:45:57.000+0000,2019-02-26T02:12:16.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-791,TASK2.0: Add RuntimeJobDag with job iterator functionality,Improvement,To Do,"","Job list iterator methods and underlying data structure were added to JobDag to support retrieval of jobs by TaskDispatcher (to be implemented) for improvement in Task Framework.

Changelist:
 1. Add RuntimeJobDag
 2. Add a unit test

See below for the design considerations for this internal Helix component:

 

 
h1. Purpose

For the new generation of Helix Task Framework, we need an intermediary iterator that extracts a list of jobs that need to be processed from WorkflowConfig (jobDag) and WorkflowContext (jobStates). This document proposes a design for it and presents a few important points of discussion for performance and ease of use.
h1. Requirements
 # Given a workflow or a JobQueue, it needs to iterate over all jobs in the workflow and produce a job in an order that *satisfies the topological order* of the DAG.
 # (Optional - discuss) The JobListIterator must produce a topological ordering of jobs in a *deterministic* way (easily doable by using ordered data structures such as TreeMap).
 # The JobListIterator must do so in an *efficient* manner and should avoid overhead where possible.
 # (Optional) Upon Controller switch, it needs to be able to re-build itself and restore the job status possible based on WorkflowContext/JobContext.
 # JobDAG must be backward-compatible.

h1. Architecture & Design
h2. Background

Optimal scheduling for a given DAG and the number of processors (in this case, ""consumers"", or _Helix Participants_ that receive tasks) is a widely studied problem in CS. For general DAGs, however, for variable number of processors, this problem is *NP-complete*. For 2 processors, there exists a polynomial-time algorithm but above 2, the complexity is unknown. It has been shown though, that the DAG is like a tree and that level-by-level scheduling is optimal (Aho, Hopcroft).

The heuristic we could utilize here is the *list scheduling algorithm*. The fact that we do not have to consider the cost/duration of jobs greatly simplifies the problem (which also saves us the trouble of worrying about the optimality of the solution). Below I present a simplified pseudocode algorithm of the list scheduling algorithm catered to our needs.

 
h2. Algorithm
|{{ready-list = \{START}; }}{{// START = a set of un-parented jobs (jobs that do not depend on any other jobs)}}
{{inflight-list = \{ };}}
{{while}} {{(\|ready-list\|+\|inflight-list\| > }}{{0}}{{) {}}
{{    }}{{for}} {{each node n in ready-list in deterministic order { }}{{//schedule new tasks}}
{{        }}{{if}} {{(Helix Participant has capacity) {}}
{{            }}{{remove n from ready-list and add to inflight-list;}}
{{            }}{{return}} {{node to the Helix Participant}}
{{        }}{{}}}
{{        }}{{else}} {{break}}{{;}}
{{    }}{{}}}
{{    }}{{for}} {{each node n in inflight-list {}}{{//determine ready tasks}}
{{        }}{{if}} {{(Helix Participant finishes the job) {}}
{{            }}{{remove n from inflight-list;}}
{{            }}{{add every ready successor of n in DAG to ready-list}}
{{        }}{{}}}
{{    }}{{}}}
{{}}}|

This will be further tweaked at implementation time to implement the APIs of an iterator such as _getNextJob()_.
h1. Alternative Designs
h2. Flattening the DAG

The problems with this approach (vs. unfolding the DAG one step at a time using a ready list and an in-flight list) are the following:
 # Once flattened with a topological ordering, the DAG loses its dependency information.
 # It could limit parallelizability of the DAG.
 # Failed jobs could potentially block the execution of other jobs due to artificial dependencies created in the process of flattening.

 

 ",Major,"","","",0,2,2019-02-22T23:59:21.000+0000,2019-03-05T01:06:24.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-790,REST2.0: Add support for updating IdealState,Improvement,To Do,"","There was a user request for a REST endpoint that allows users to add/delete/modify fields in IdealState ZNodes.

Changelist: 1. Add updateResourceIdealState in ResourceAcessor 2. Add update APIs in HelixAdmin 3. Add an integration test",Major,"","","",0,2,2018-11-14T02:22:36.000+0000,2018-11-14T19:04:59.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-789,REST2.0: Add support for update and delete for ResourceConfig,Improvement,To Do,"","Previous implementation of updateResourceConfig did not allow deletion of fields in ResourceConfig in ZK. This RB refactors the REST endpoint.
Changelist:
1. Add command support for updateResourceConfig
2. Add integration tests",Major,"","","",0,2,2018-11-14T02:21:37.000+0000,2018-11-14T19:04:58.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-788,HELIX: Fix DefaultPipeline so that it doesn't rebalance task resources,Improvement,To Do,"","Helix CHO testing indicated that the default pipeline was rebalancing task framework resources. This RB fixes this.
Changelist:
1. Change resourceMap to resourceToRebalance, which separates generic and task resources
2. Make logger use LogUtil to distinguish two pipelines",Major,"","","",0,2,2018-11-02T21:04:17.000+0000,2018-11-02T21:28:58.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-787,TASK: Fix stuck tasks after Participant connection loss,Improvement,To Do,"","When Helix Participants lose ZK connection and enter a new ZK session, that causes all task partitions on those Participants to be reset into INIT state. This is undesirable because in reality, these tasks are considered dropped and should be scheduled on some other instance. This is the Controller side fix for this problem: when we detect tasks whose assigned Participants are no longer live, we mark them as DROPPED in their parent JobContext so that AssignableInstance will not consider them active when it is refreshed in the next pipeline. This enables these dropped tasks to be reassigned onto other instances.

Note that a Participant-side fix must follow so that upon reset() on task partitions, they should be in DROPPED state, not in INIT state. This does not inherently solve stuck INIT states on the original Participant. However, by letting these tasks be assigned on other instances, this fix lets jobs and workflows complete, upon which their CurrentStates will be dropped altogether.

Changelist:
1. Mark task partitions whose assigned Participants are no longer live as DROPPED in JobContext",Major,"","","",0,1,2018-11-02T21:02:50.000+0000,2018-11-02T21:02:50.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-786,TEST: Make TestQuotaBasedScheduling stable,Improvement,To Do,"","Because recent changes caused the Controller to run slower, TestQuotaBasedScheduling was being unstable. This RB fixes this.
Changelist:
1. Use polling instead of Thread.sleep()",Major,"","","",0,2,2018-11-02T21:01:41.000+0000,2018-11-02T21:28:57.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-785,Report helix latency instead of user latency during top state handoff,Task,To Do,"","Currently we are reporting top state handoff user latency, but we should report Helix latency instead. user should have their way of monitoring their own state transitions.

AC:
1. Implement reporting Helix latency for top state handoff and test it",Major,"","","",0,3,2018-11-02T18:29:55.000+0000,2018-11-02T20:55:45.000+0000,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-784,TASK: Fix a bug in getExpiredJobs,Improvement,To Do,"","getExpiredJobs(), when the job config is null, would just continue instead of adding it to expiredJobs so that the job cleanup/purge would be re-tried. This could possibly cause purge failures to leave a lot of jobs un-purged with just the job config missing in ZK. This RB fixes this.

Changelist:
1. Add the job name to expiredJobs if the job config does not exist in ZK
2. Add a more detailed description in the error log
3. Add an integration test for two task-related stages: TaskPersistDataStage and TaskGarbageCollectionStage in TestTaskStage.java",Major,"","","",0,2,2018-11-01T23:57:13.000+0000,2018-11-02T00:19:51.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-783,TASK: Fix JobQueue's job state-related bug,Improvement,To Do,"","The bug was observed in TestTaskRebalancerStopResume:stopAndResumeNamedQueue(), which was being unstable. It was observed that for JobQueues with multiple jobs, the second job would get marked as IN_PROGRESS even though the first job hadn't completed/failed, especially when the queue was being stopped and resumed. This was due to a bug in getIncompleteJobCount() because it was not counting jobs in STOPPING state. This was fixed and another check was added right before JobDispatcher marks a job as STOPPED so that it would not mark it STOPPED if the job state is NOT_STARTED. Changelist: 1. Fix getIncompleteJobCount() 2. Add a check so that we don't mark NOT_STARTED jobs as STOPPED",Major,"","","",0,1,2018-11-01T23:55:46.000+0000,2018-11-01T23:55:46.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-782,TASK: Make TaskDriver use ZKClient's create when creating workflows,Improvement,To Do,"","TaskDriver should use create() but currently is using set(), which just overwrites ZNodes that are in ZK. This is undesirable and we need to fix it, especially in the wake of ZNode restructuring.

AC:
1. Make TaskDriver use create() instead of set()
2. Add an integration test: TestWorkflowCreation:testWorkflowCreationNoDuplicates()",Major,"","","",0,2,2018-11-01T23:54:26.000+0000,2018-11-02T00:19:49.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-781,Implement Helix cluster view aggregator,Task,Done,"",,Major,"","","",0,1,2018-11-01T22:14:07.000+0000,2021-09-18T19:24:45.000+0000,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,Fixed,2021-09-18T19:24:45.000+0000,helix
HELIX-780,Support get/add rest api for workflow/job/task user content,Task,To Do,"","Need to support get/add rest api for workflow/job/task user content

AC:
 * finish implementation
 * test code",Major,"","","",0,3,2018-11-01T18:06:05.000+0000,2018-11-02T01:18:32.000+0000,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-779,Maintenance rebalancer should not clear preference list in ideal state,Bug,To Do,helix-core,"Setting list fields to empty map will prevent newly added and initially rebalanced resources during maintenance mode from getting re-balanced after cluster exists maintenance mode.
The right thing to do is to clear every preference list.",Major,"","","",0,3,2018-11-01T17:41:21.000+0000,2018-11-01T18:47:25.000+0000,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-778,TASK: Fix a race condition in updatePreviousAssignedTasksStatus,Improvement,To Do,"","It was observed that TestUnregisteredCommand is very unstable. The reason was identified to be a race condition where when a task fails, sometimes a pending message for that task (from INIT to RUNNING) wasn't being cleaned up on time, so AbstractTaskDispatcher's updatePreviousAssignedTasksStatus would try to process that message and skip the status update of that task (like updating its status and NUM_ATTEMPTS field in JobContext).

A short, temporary fix is to call markPartitionError() prior to checking the pending message, but over the long haul, we would need to revisit the task status update's design here to avoid this type of race conditions.

Changelist:
1. Move markPartitionError() up before checking for a pending message on the task
2. Fix TestUnregisteredCommand's instability",Major,"","","",0,2,2018-11-01T00:20:16.000+0000,2018-11-01T00:35:29.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-777,TASK: Handle null currentState for unscheduled tasks,Improvement,To Do,"","It was observed that when a workflow is submitted and the Controller attempts to schedule its tasks, ZK read fails to read the appropriate job's context, causing the job to be stuck in an unscheduled state. The job remained unscheduled because it had no currentStates, and its job context did not contain any assignment/state information. This RB fixes such stuck states by detecting null currentStates.
Changelist:
1. Check if currentState is null and if it is, manually assign an INIT state",Major,"","","",0,2,2018-10-31T21:21:25.000+0000,2018-11-01T00:35:28.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-776,REST2.0: Add delete command to updateInstanceConfig,Improvement,To Do,"","For instance configs, REST2.0 did not expose the REST API for deletion of fields. This RB adds update and delete commands to updateInstanceConfig and an integration test thereof. Changelist: 1. Add delete command to updateInstanceConfig in InstanceAccessor 2. Add integration tests",Major,"","","",0,2,2018-10-31T21:19:52.000+0000,2018-11-01T00:35:27.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-775,Task driver should support add/get task framework user content,Task,To Do,"","Task driver should support add/get task framework user content at workflow/job/task levels

 

AC:
 * finish implementation
 * add tests",Major,"","","",0,3,2018-10-31T20:54:20.000+0000,2018-10-31T21:14:25.000+0000,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-774,Helix process getting increased day by day ,Bug,To Do,helix-webapp-admin,"Hi Team, 

We are using helix in cluster Load balancing. While starting jbpm server the 3 helix process daily getting added in the process and takes lot of memory. Below I have added the helix process, please help me to fix this.

Please refer below process

jboss 31027 1 0 Oct19 ? 00:04:27 
/u01/app/mw/jdk1.8.0_121/bin/java -Xms512m -Xmx512m -classpath 
/u01/app/mw/prod_zk/helix/conf
/u01/app/mw/prod_zk/heli /repo/log4j/log4j/1.2.15/log4j-1.2.15.jar
/u01/app/mw/prod_zk/helix/repo/org/apache/zookeeper/zookeeper/3.3.4/zookeeper-3.3.4.jar
/u01/app/mw/prod_zk/helix/repo/jline/jline/0.9.94/jline-0.9.94.jar
/u01/app/mw/prod_zk/helix/repo/org/codehaus/jackson/jackson-core-asl/1.8.5/jackson-core-asl-1.8.5.jar
/u01/app/mw/prod_zk/helix/repo/org/codehaus/jackson/jackson-mapper-asl/1.8.5/jackson-mapper-asl-1.8.5.jar
/u01/app/mw/prod_zk/helix/repo/commons-io/commons-io/1.4/commons-io-1.4.jar
/u01/app/mw/prod_zk/helix/repo/commons-cli/commons-cli/1.2/commons-cli-1.2.jar
/u01/app/mw/prod_zk/helix/repo/com/github/sgroschupf/zkclient/0.1/zkclient-0.1.jar
/u01/app/mw/prod_zk/helix/repo/org/apache/commons/commons-math/2.1/commons-math-2.1.jar
/u01/app/mw/prod_zk/helix/repo/commons-codec/commons-codec/1.6/commons-codec-1.6.jar
/u01/app/mw/prod_zk/helix/repo/com/google/guava/guava/15.0/guava-15.0.jar
/u01/app/mw/prod_zk/helix/repo/org/yaml/snakeyaml/1.12/snakeyaml-1.12.jar
/u01/app/mw/prod_zk/helix/repo/org/apache/helix/helix-core/0.6.5/helix-core-0.6.5.jar -Dapp.name=run-helix-controller -Dapp.pid=31027 -Dapp.repo=/u01/app/mw/prod_zk/helix/repo -Dbasedir=/u01/app/mw/prod_zk/helix org.apache.helix.controller.HelixControllerMain --zkSvr 204.26.160.42:4181,204.26.160.43:4181 --cluster repoCluster3",Major,0.6.5,0.6.5,helix,0,1,2018-10-31T13:30:04.000+0000,2018-10-31T13:30:04.000+0000,tgmohanraj,Mohanraj Tirougnaname,Etc/UTC,,,,tgmohanraj,Mohanraj Tirougnaname,Etc/UTC,,,helix
HELIX-773,Support getLastScheduledTaskTimestamp information in workflow rest api,Bug,To Do,"",Support getLastScheduledTaskTimestamp information in workflow rest api,Major,"","","",0,3,2018-10-30T23:40:11.000+0000,2018-10-31T20:59:51.000+0000,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-772,Support TaskDriver.addUserContent() api,Bug,To Do,"","Need to support add user content in task driver

 

AC:
 * implement APi
 * add test

 ",Major,"","","",0,3,2018-10-30T23:06:09.000+0000,2018-10-31T20:59:50.000+0000,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-771,More detailed top state handoff metrics,Bug,To Do,helix-core,"To define top state handoff SLA, we need some more detailed data:
 * graceful top state handoff (i.e. disable instance / resource / etc, both Helix and e2e latency)
 * abrupt top state handoff (i.e. node crash)

AC:
 - prepare metrics, test, code complete",Major,"","","",0,3,2018-10-30T22:36:49.000+0000,2018-10-31T01:16:54.000+0000,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,,,helix
