issue_key,issue_summary,issue_type,issue_status,issue_components,issue_description,issue_priority,issue_affects_versions,issue_fix_versions,issue_labels,issue_votes,issue_watchers,issue_created_datetimetz,issue_updated_datetimetz,issue_creator_id,issue_creator_name,issue_creator_timezone,issue_assignee_id,issue_assignee_name,issue_assignee_timezone,issue_reporter_id,issue_reporter_name,issue_reporter_timezone,issue_resolution,issue_resolution_datetimetz,project
HELIX-770,HELIX: Fix a possible NPE in loadBalance in IntermediateStateCalcStage,Improvement,To Do,"","In isLoadBalanceDownwardForAllReplicas() in IntermediateStateCalcStage, statePriorityMap was throwing a NPE because the partition contained a replica in ERROR state, and the map did not have an entry for it. To amend the issue, Venice added the ERROR state in the state model with a priority, and Helix added checks to prevent NPEs. Changelist: 1. Add containsKey checks in isLoadBalanceDownwardForAllReplicas() 2. Make the Controller correctly log all partitions with ERROR state replicas 3. Add HelixDefinedStates in statePriorityList if not already added",Major,"","","",0,3,2018-10-29T23:50:18.000+0000,2018-10-30T00:56:42.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-769,TASK2.0: Add PropertyKey APIs for new ZNode structure workflow/job paths,Improvement,To Do,"","As part of ZNode restructuring for Task Framework, we need a convenient way to generate paths to read from and write to ZooKeeper. PropertyKey was already being used for this purpose for the most part throughout Helix, so these APIs were added in PropertyKey and PropertyPathBuilder.

Changelist:
1. Add path generation APIs for Task Framework resources in PropertyKey
2. Add a unit test for the new APIs",Major,"","","",0,2,2018-10-29T22:55:03.000+0000,2018-10-29T23:24:06.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-768,TASK: Fix a bug in WorkflowAccessor,Improvement,Done,"","There was a bug in WorkflowAccessor where a JSON was submitted to for PUT requests, it would created a WorkflowConfig based on the JSON but fails to create a workflow with the config. This was preventing users to create workflows via REST APIs properly.
Changelist:
1. Ensure that the configs submitted are reflected in the workflow being created",Major,"","","",0,2,2018-10-29T22:53:30.000+0000,2019-02-27T18:54:47.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:54:47.000+0000,helix
HELIX-767,TASK: Remove quotaType fields from Workflow and Job Beans,Improvement,Done,"","For a short while, we used quota type to denote the quota type of Task Framework resources. However, we changed the design so that we are using the workflowType and jobType fields respectively. There were places where the quotaType field was left over in the codebase, and this RB cleans it up.
Changelist:
1. Remove all quotaType fields from Bean classes
2. Add the setting of workflowType in WorkflowBean when read into Workflow.Builder",Major,"","","",0,2,2018-10-29T22:46:41.000+0000,2019-02-27T18:54:38.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:54:38.000+0000,helix
HELIX-766,[TASK] Add logging functionality in AssignableInstanceManager,Improvement,Done,"","In order to debug task-related inquiries and issues, we realized that it would be very helpful if we logged there was a log recording the current quota capacity of all AssignableInstances. This is for cases where we see jobs whose tasks are not getting assigned so that we could quickly rule out the possibility of bugs in quota-based scheduling.
Changelist:
    1. Add a method that logs current quota profile in a JSON format with an option flag of only displaying when there are quota types whose capacities are full
    2. Add info logs in AssignableInstanceManager",Major,"","","",0,2,2018-10-27T02:07:43.000+0000,2019-02-27T18:54:30.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:54:30.000+0000,helix
HELIX-765,[TASK] Build quota profile from scratch every rebalance,Improvement,Done,"","It has been reported that instances have a full quota despite no tasks existing in their CURRENTSTATES. The cause of this is not clear, so making ClusterDataCache trigger a refresh of all AssignableInstances will ensure that there aren't situations where it looks like there has been a thread leak. Optimizations will be implemented if necessary. Changelist: 1. Make AssignableInstanceManager build all AssignableInstances from scratch every rebalance",Major,"","","",0,2,2018-10-27T02:06:19.000+0000,2019-02-27T18:54:23.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:54:23.000+0000,helix
HELIX-764,[TASK] Fix LiveInstanceCurrentState change flag,Improvement,Done,"","Previously, existsLiveInstanceOrCurrentStateChange was getting reset in ClusterDataCache when its getter was called. This was problematic because if there were multiple jobs or multiple workflows, whoever calls this getter would get the correct flag value, and the ensuing callers would get a false because the flag would have been reset. This RB fixes that bug by reseting the flat right in the beginning of refresh() call in ClusterDataCache, which allows all callers during that pipeline would get the same, correct value.
Changelist:
1. Change the getter so that it does not reset the flag; instead, reset the flag in the beginning of refresh()",Major,"","","",0,2,2018-10-27T02:03:18.000+0000,2019-02-27T18:54:15.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:54:15.000+0000,helix
HELIX-763,[TASK] Ignore tasks whose workflow and job are inactive,Improvement,Done,"","It was discovered that by manual testing, there were task states in INIT and RUNNING, and they were occupying a thread count even though their parent job or workflow was in an inactive state (terminal or stopped). This was happening when the capacities were being rebuilt from scratch, which could have caused a thread leak. Changelist: 1. Add a check in buildAssignableInstances() so that it ignores workflows and jobs whose states are inactive states (that is, their tasks cannot be occupying a thread on Participants)",Major,"","","",0,1,2018-10-27T01:49:30.000+0000,2019-02-27T18:54:07.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:54:07.000+0000,helix
HELIX-762,[TASK] Change LOG mode from info to debug,Improvement,Done,"","In production, it was observed that some users were running thousands of tasks, and since AssignableInstance leaves a line of log for each task assigned or released, the amount of log that was being generated was too much, and it was too verbose.
Changelist:
1. Change the logging mode from info to debug in AssignableInstance and AssignableInstanceManager",Major,"","","",0,2,2018-10-27T01:33:20.000+0000,2019-02-27T18:53:59.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:53:59.000+0000,helix
HELIX-758,TASK: Add logging functionality in AssignableInstanceManager,Improvement,Done,"","In order to debug task-related inquiries and issues, we realized that it would be very helpful if we logged there was a log recording the current quota capacity of all AssignableInstances. This is for cases where we see jobs whose tasks are not getting assigned so that we could quickly rule out the possibility of bugs in quota-based scheduling.
Changelist:
    1. Add a method that logs current quota profile in a JSON format with an option flag of only displaying when there are quota types whose capacities are full
    2. Add info logs in AssignableInstanceManager",Major,"","","",0,1,2018-09-25T17:37:35.000+0000,2019-02-27T18:53:51.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:53:51.000+0000,helix
HELIX-757,TASK: Ignore tasks whose workflow and job are inactive,Improvement,Done,"","It was discovered that by manual testing, there were task states in INIT and RUNNING, and they were occupying a thread count even though their parent job or workflow was in an inactive state (terminal or stopped). This was happening when the capacities were being rebuilt from scratch, which could have caused a thread leak. Changelist: 1. Add a check in buildAssignableInstances() so that it ignores workflows and jobs whose states are inactive states (that is, their tasks cannot be occupying a thread on Participants)",Major,"","","",0,1,2018-09-25T17:34:36.000+0000,2019-02-27T18:53:42.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:53:42.000+0000,helix
HELIX-756,TASK: Change LOG mode from info to debug,Improvement,Done,"","In production, it was observed that some users were running thousands of tasks, and since AssignableInstance leaves a line of log for each task assigned or released, the amount of log that was being generated was too much, and it was too verbose.
Changelist:
1. Change the logging mode from info to debug in AssignableInstance and AssignableInstanceManager",Major,"","","",0,2,2018-09-25T17:24:38.000+0000,2019-02-27T18:53:33.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:53:33.000+0000,helix
HELIX-755,TASK: Build quota profile from scratch every rebalance,Improvement,Done,"","It has been reported that instances have a full quota despite no tasks existing in their CURRENTSTATES. The cause of this is not clear, so making ClusterDataCache trigger a refresh of all AssignableInstances will ensure that there aren't situations where it looks like there has been a thread leak. Optimizations will be implemented if necessary. Changelist: 1. Make AssignableInstanceManager build all AssignableInstances from scratch every rebalance",Major,"","","",0,1,2018-09-25T17:22:02.000+0000,2019-02-27T18:53:01.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:53:01.000+0000,helix
HELIX-754,TASK: Fix LiveInstanceCurrentState change flag,Improvement,Done,"","Previously, existsLiveInstanceOrCurrentStateChange was getting reset in ClusterDataCache when its getter was called. This was problematic because if there were multiple jobs or multiple workflows, whoever calls this getter would get the correct flag value, and the ensuing callers would get a false because the flag would have been reset. This RB fixes that bug by reseting the flat right in the beginning of refresh() call in ClusterDataCache, which allows all callers during that pipeline would get the same, correct value.
Changelist:
1. Change the getter so that it does not reset the flag; instead, reset the flag in the beginning of refresh()",Major,"","","",0,1,2018-09-25T17:19:05.000+0000,2019-02-27T18:52:52.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:52:52.000+0000,helix
HELIX-753,Record top state handoff finished in single cluster data cache refresh,Bug,In Progress,"","Currently we are calculating top state handoff duration by doing the following:
 - record missing top state when we see a top state missing
 - record top state come back when we see it come back
 - report top state handoff duration

This is perfectly fine for non-P2P state transitions as the entire top state handoff process will always finish for >= 2 pipeline runs. However, for P2P enabled clusters, top state handoff are quick, and if it is quicker than cluster data refresh stage latency, we will lose a lot of short top state handoffs, which make the number miserable on ingraph.

We need to revise top state handoff metrics implementation so we don't lose data point statistically (i.e. we are losing all short handoffs now).

AC:
 - revise impl so we catch those short top state hand-offs
 - write new tests to catch the fix if needed",Major,"","","",0,3,2018-09-21T21:29:33.000+0000,2018-10-25T23:05:51.000+0000,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-752,Add missing shutdown for RoutingTableProvider,Improvement,Done,"","Changelist:
1. Add a missing shutdown() call to avoid having a background thread keep printing out error messages",Major,"","","",0,3,2018-09-19T17:49:32.000+0000,2019-02-27T20:05:03.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:52:42.000+0000,helix
HELIX-751,TASK: Fix AssignableInstanceComparator so that it sorts unsupported quota types,Improvement,Done,"","Currently, if the quota type does not exist, it will not sort AssignableInstances based on availability. This does not cause immediate problems, but it would be nice to have them sorted because we now allow unsupported quota types run as DEFAULT type.
Changelist:
1. Comparator sorts AssignableInstances in a PriorityQueue by DEFAULT type's availability when the quota type given is unsupported",Major,"","","",0,3,2018-09-19T17:05:06.000+0000,2019-02-27T18:52:23.000+0000,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,narendly,Hunter L,America/Los_Angeles,Fixed,2019-02-27T18:52:23.000+0000,helix
HELIX-750,Implement Helix View Aggregator Service,Task,To Do,"","I have sent out the design for Helix view aggregation service to serve cross data center information in a more convenient way ([https://github.com/apache/helix/pull/266)]

This ticket is to implement the service based on approved design.",Major,"","","",0,1,2018-08-21T22:13:41.000+0000,2018-08-21T22:13:41.000+0000,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-749,"Thread ""CallbackHanlder-AsycSubscribe"" should be a daemon thread",Bug,To Do,helix-core,"In org.apache.helix.manager.zk.CallbackHandler, SubscribeChangeEventProcessor should be a daemon thread. If it can't be a daemon thread, there should be a way to shut it down.",Minor,0.8.x,"","",0,1,2018-07-31T17:12:22.000+0000,2018-09-28T21:27:50.000+0000,dmodha,Digant Modha,America/New_York,hzzh0301,Harry Zhang,Etc/UTC,dmodha,Digant Modha,America/New_York,,,helix
HELIX-748,ZkClient should not throw Exception when internal ZkConnection is reset,Task,To Do,"","It is noticed that ZkClient throws an exception because of ZkConnection == null when it is reset.

This could be caused by an expiring session handling. According to the design, ZkClient operation should wait until reset done, instead of break the retry.",Major,"","","",0,2,2018-07-26T18:24:42.000+0000,2018-07-31T21:09:07.000+0000,jiajunwang,Jiajun Wang,America/Los_Angeles,jiajunwang,Jiajun Wang,America/Los_Angeles,jiajunwang,Jiajun Wang,America/Los_Angeles,,,helix
HELIX-747,Replace org.codehaus.jackson with FasterXML/jackson,Task,To Do,"","The current json lib Helix uses is out of date. We should consider replacing it with a well-maintained lib.

FasterXML/jackson is compatible with the current lib we used. So it could be a good candidate.",Major,"","","",0,2,2018-07-25T18:56:48.000+0000,2019-11-22T10:21:04.000+0000,jiajunwang,Jiajun Wang,America/Los_Angeles,,,,jiajunwang,Jiajun Wang,America/Los_Angeles,,,helix
HELIX-746,[TASK] Fix removeJob so its behavior is more consistent with removeWorkflow,Improvement,To Do,"","Change the behavior of removeJob() so that it's more consistent with removeWorkflow(). This RB addresses the scenario: suppose config deletion failed (so config still exists) and context deletion succeeded. Then the Controller has no way of knowing whether this job has ever been scheduled or it was meant to be deleted (although failed due to partial deletion). Returning as soon as config deletion fails can prevent this scenario.

Changelist:
1. Make removeJob() return early as soon as a ZNode write failure is detected",Major,"","","",0,2,2018-07-24T21:11:32.000+0000,2018-07-25T00:52:03.000+0000,narendly,Hunter L,America/Los_Angeles,,,,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-745,[TASK] Make AssignableInstanceManager listen on data changes to update AssignableInstances,Improvement,To Do,"","Previously, although AssignableInstanceManager provided an API for updating its AssignableInstances, this API was not being called at all. This RB fixes this.

Changelist:
1. Add a boolean flag in ClusterDataCache for LiveInstance, ClusterConfig, InstanceConfig changes
2. If the ClusterDataCache is a taskDataCache, call AssignableInstanceManager.updateAssignableInstances() when the said boolean flag is true
3. Use thread-safe map in AssignableInstanceManager
4. Address the issue of targeted tasks having null taskIds (use pName convention instead)
5. Address the issue of LiveInstanceChange not notifying the caches by explicitly using setLiveInstance() function
6. Fix bug in restoreTaskAssignResult where tasks with null quota type were not being restored properly",Major,"","","",0,2,2018-07-24T21:09:37.000+0000,2018-07-25T00:52:02.000+0000,narendly,Hunter L,America/Los_Angeles,,,,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-744,[TASK] Allow undefined workflow/job types to be assigned as DEFAULT type,Improvement,To Do,"","Previously, we ignored undefined types, that is workflow/job types that are not defined in ClusterConfig. This is not backward-compatible because some users of Task Framework are setting types without any quota-related config set in ClusterConfig. The default behavior was changed so that each AssignableInstance will just treat these workflows/jobs as DEFAULT type, which will make quota-based scheduling backward-compatible. Changelist: 1. AssignableInstance treats undefined types as DEFAULT 2. Appropriate log messages and logic change was applied to restoreTaskAssignResult logic 3. A test case was added to TestQuotaBasedScheduling",Major,"","","",0,2,2018-07-24T21:06:06.000+0000,2018-07-25T00:49:41.000+0000,narendly,Hunter L,America/Los_Angeles,,,,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-743,[TASK] Fix purgeExpiredJobs() so that jobs whose removal has failed do not get removed from DAG,Improvement,To Do,"","Previously, even if the job removal had failed, Task Framework would go ahead and remove the job from the DAG. This would cause some ZNodes to be left over and never be cleaned up at next purge time. Changelist: 1. Keep track of jobs whose removal failed and remove them from expiredJobs so that next call to purgeExpiredJobs(), the job would be included in expiredJobs again and removal would be tried again.",Major,"","","",0,2,2018-07-24T19:12:08.000+0000,2018-07-24T21:35:50.000+0000,narendly,Hunter L,America/Los_Angeles,,,,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-742,ZkHelixManager should consider session expire when detecting connection flapping,Task,To Do,"","In production we are seeing is because of infinite expiry-connect loop. These caused live instance change and trigger massive state transitions. As a result, controller overloads the ZK with thousands of  messages, and bring down the cluster.

 

Currently, when ZkHelixManager detects connection flapping, it only counts disconnects, but not session expiry, we need to take session expiry into consideration as well.

 

AC:
 * follow up this ticket with a plan to consolidate semantics and behavior
 * Code complete and test it out",Major,"","","",0,1,2018-07-19T19:24:13.000+0000,2018-07-19T19:24:13.000+0000,hzzh0301,Harry Zhang,Etc/UTC,,,,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-741,Revise unreliable behavior in swapInstance,Task,To Do,"","swapInstance call did not work properly when we were trying to fix a production issue.

 

The API was old and not actively maintained. It used deprecated underlaying data accessor API and hit a problem of partial ZK read. Thus our CLI was unable to update all IdealStates as expected.

We have seen such problem before, especially when the cluster is bug and there are a lot of data to read back.

This ticket is created to refactor the implementation of swapInstance() to make it more robust, and separate ticket will be created to revise those old API calls that are not frequently used not actively maintained.

–
AC:
 - make this api call reliable and idempotent",Major,"","","",0,3,2018-07-17T22:54:52.000+0000,2018-07-23T22:00:28.000+0000,hzzh0301,Harry Zhang,Etc/UTC,,,,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-740,ZkHelixAdmin:NPE,Task,To Do,"","The NPE occurs in this line: [https://github.com/apache/helix/blob/master/helix-core/src/main/java/org/apache/helix/manager/zk/ZKHelixAdmin.java#L669]

Basically, we ended up in a situation where we had an instance whose config was deleted. The line above should handle this more gracefully;we need more meaningful error information.",Major,"","","",0,3,2018-07-17T22:49:27.000+0000,2018-07-18T05:14:08.000+0000,hzzh0301,Harry Zhang,Etc/UTC,,,,hzzh0301,Harry Zhang,Etc/UTC,,,helix
HELIX-739,[TASK] Remove old comments from TestQuotaBasedScheduling,Improvement,To Do,"","Remove legacy comments that are no longer true to prevent confusion in the future.
Changelist:
1. Remove old comments",Major,"","","",0,2,2018-07-17T20:38:31.000+0000,2018-07-18T05:14:06.000+0000,narendly,Hunter L,America/Los_Angeles,,,,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-738,[TASK] Remove quotaType APIs and make jobs inherit type from workflows,Improvement,To Do,"","For quota-based task scheduling, for each job, we provided get/setQuotaType APIs. However, the use case for workflow types and job types were similar enough that we decided to merge them and begin using workflow/job types for quota-based scheduling. Job types will now be used as quota types, and all jobs will inherit the type, if set, from their parent workflow, at assignment and schedule time.

Changelist:
1. Remove APIs around quotaType in Workflow/JobConfig
2. Add an internal method in TaskAssignmentCalculator that includes logic for determining which quota type each job should use
3. Adjust tests so that they test and pass successfully",Major,"","","",0,2,2018-07-17T20:35:43.000+0000,2018-07-18T05:14:02.000+0000,narendly,Hunter L,America/Los_Angeles,,,,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-737,[ROUTER] Expose ExternalViews in RoutingTable and RoutingTableSnapshot,Improvement,To Do,"","This was a user request.

 

Changelist: 1. Add getExternalViews() in RoutingTable 2. Add getExternalViews() in RoutingTableProvider 3. Cache ExternalViews in RoutingTable 4. Add an ExternalView test in TestRoutingTableSnapshot",Major,"","","",0,2,2018-07-16T22:56:40.000+0000,2018-07-17T22:35:32.000+0000,narendly,Hunter L,America/Los_Angeles,,,,narendly,Hunter L,America/Los_Angeles,,,helix
HELIX-736,Modify TestGetLastScheduledTaskTimestamp for increased stability,Improvement,To Do,"","This test was experiencing an intermittent failure. No inherent faults of its own, but sometimes tasks were not being given enough resource/time to be scheduled and register the timestamp, which is expected depending on how fast the system is running. One area of improvement was that TestGetLastScheduledTaskTimestamp was using a long value 0 for invalid or unscheduled timestamps. It will use -1L from now on, which is the invalid flag TaskDriver uses.

Changlist:
1. Change the flag for invalid or unscheduled timestamps from 0 to -1L in TestGetLastScheduledTaskTimestamp",Major,"","","",0,2,2018-07-16T22:51:11.000+0000,2018-07-17T22:35:29.000+0000,narendly,Hunter L,America/Los_Angeles,,,,narendly,Hunter L,America/Los_Angeles,,,helix
